username;date;text;id
SteffLocke;2015-11-03 14:52;Nice, can use #bioconductor packages in #AzureML Great case study from @revodavid , learnt a lot this keynote! #earl2015;661556532547559424
mygeneinfo;2015-10-23 16:20;MT @myvariantinfo :Now you can add variant #annotation data to your workflow via our new R package from #bioconductor http:// myvariant.info;657577451480965120
vikasjee;2015-10-21 14:25;rnomics: Bioconductors #RNA -seq Workflow in Jupyter notebook format: Browsing http:// bit.ly/1XjPtfP #Presentations #bioconductor #Dock ;656823584380317697
rnomics;2015-10-21 14:23;Bioconductors #RNA -seq Workflow in Jupyter notebook format: Browsing http:// bit.ly/1XjPtfP #Presentations #bioconductor #Docker #RNAseq;656823141478477824
robertclab;2015-10-21 08:21;LOLA: Locus Overlap Analysis, a  GSEA-like analysis for genomic regions by N. Sheffield http:// databio.org/lola #rstats #bioconductor;656732099370577920
Bioconductor;2015-10-15 17:25;#Bioconductor Public data and open source tools for multi-assay genomic investigation of disease http:// bib.oxfordjournals.org/cgi/content/lo ng/bbv080v1 ;654694483603275776
vivekbhr;2015-10-15 06:57;New #bioconductor release 3.2 with 80 new packages . #rstats #genomics https:// twitter.com/Bioconductor/s tatus/654390619377274880 ;654536567160242176
Bioconductor;2015-10-14 21:17;#Bioconductor 3.2 is released! http:// bioconductor.org/news/bioc_3_2_ release/ ;654390619377274880
genetics_blog;2015-10-13 15:01;TIN: #Bioconductor / #Rstats pkg for Transcriptome Instability Analysis http://www. ncbi.nlm.nih.gov/pubmed/26448683 http:// bioconductor.org/packages/relea se/bioc/html/TIN.html ;653933486336798720
fjnogales;2015-10-08 21:25;"A big computer, a complex algorithm and a long time does not equal science" Robert Gentleman https:// en.wikipedia.org/wiki/Robert_Ge ntleman_(statistician)  #rstats #bioconductor;652218260818108416
MyGeneCounsel;2015-10-08 18:31;#Bioconductor project to develop statistical and computational analysis tools for high-throughput #genomics data | http:// ow.ly/Takr4;652174374854914052
seandavis12;2015-10-01 21:14;New to #bioconductor http:// bioconductor.org/packages/devel /bioc/html/TarSeqQC.html  TarSeqQC TARgeted SEQuencing Experiment Quality Control;649678811357954049
seandavis12;2015-10-01 10:59;New to #bioconductor http:// bioconductor.org/packages/devel /bioc/html/DiffLogo.html  DiffLogo DiffLogo: A comparative visualisation of;649523936984735744
SunitJain;2015-09-22 12:02;#rstats :  "oposSOM: R-package for high-dim portraying of genome-wide exp landscapes on #bioconductor " http:// bioinformatics.oxfordjournals.org/cgi/content/sh ort/31/19/3225?rss=1 ;646278502908604416
seandavis12;2015-09-18 21:36;New to #bioconductor http:// bioconductor.org/packages/devel /bioc/html/RTCGA.html  RTCGA The Cancer Genome Atlas Data Integration: The Cancer;644973300435812352
monimunozto;2015-09-17 15:34;R packages in #metabolomics from Alexandre Perera's lab at UPC. http:// b2slab.upc.edu #MAIT #Bioconductor #CCBCOL3;644519805328953344
dalloliogm;2015-09-17 09:19;bioconductor coursera course https://www. coursera.org/course/genbioc onductor  #bioconductor #coursera #MOOC;644425461146251264
vivekbhr;2015-09-15 23:13;#rstats #bioconductor https:// twitter.com/Bioconductor/s tatus/643876835999285249 ;643910631830257664
vivekbhr;2015-09-14 12:29;Now we can do multiple sequence alignment in #rstats , using msa #bioconductor package http:// bit.ly/1UQHpA5 #bioinformatics #genomics;643386055702540288
CharlesJolyB;2015-09-10 03:00;New blog post: How to extract promoters positions https:// charlesjb.github.io/How_to_extract _promoters_positions/  #bioconductor #rstats;641793401751535616
mritchieau;2015-09-09 06:57;Next up @PeteHaitch explaining how to go about DNA methylation analysis in #bioconductor #Rstats #giwincob15 pic.twitter.com/oa7Esx8Xs6;641490541767626752
mritchieau;2015-09-09 06:49;@mt_morgan giving us a high level tour of the #bioconductor #Rstats project at #giwincob15 (in the dark!) pic.twitter.com/64gaao71en;641488524865204228
ChiachunChiu;2015-09-08 07:52;Dr. Martin Morgan is demonstrating how to build a #R / #Bioconductor package. #BiocAsiaPacific2015 pic.twitter.com/oV5dqF68rw;641142088864694273
Bioconductor;2015-09-08 05:08;#rstats / #Bioconductor new tutorial: Bioconductor on Coursera https:// support.bioconductor.org/p/71905/;641100835250925568
tangming2005;2015-09-08 04:38;bioconductor workflows http:// bioconductor.org/help/workflows/ #bioconductor;641093110395596800
mritchieau;2015-09-01 04:00;A week until the #Rstats fun begins in Tokyo at #Bioconductor Asia-Pacific Developers' Mtg 8th Sept http:// tinyurl.com/ns6qy55 See you there!;638547030248296449
seandavis12;2015-09-01 01:53;New to #bioconductor http:// bioconductor.org/packages/devel /bioc/html/AnnotationHubData.html  AnnotationHubData Transform public data;638514893361139712
road2stat;2015-08-29 03:09;Wow, the SBG API client is available on #bioconductor now, thanks @yintengfei ! Guess we may have some champagne. https:// twitter.com/seandavis12/st atus/637369214223958016 ;637446949906444290
seandavis12;2015-08-28 22:00;New to #bioconductor http:// bioconductor.org/packages/devel /bioc/html/sbgr.html  sbgr R Client for Seven Bridges Genomics API: R client for;637369214223958016
guangchuangyu;2015-08-26 12:27;seq2pathway was deprecated, https:// github.com/Bioconductor-m irror/seq2pathway/commit/7fae4a8d48e89638541ce2911247e59d298fd2ed  . Is it due to my blog post, http:// ygc.name/2015/08/21/fun ctional-enrichment-analysis-with-ngs-data/  ? #rstats #Bioconductor;636500125968302080
genetics_blog;2015-08-24 15:21;Coursera: #Bioconductor for Genomic Data Science https://www. coursera.org/course/genbioc onductor  #Rstats;635819233566412800
seandavis12;2015-08-23 16:06;diffHic: a #Bioconductor package to detect differential #genomic interactions in Hi-C data http://www. biomedcentral.com/1471-2105/16/2 58  #bioinformatics;635468096329895936
hjpimentel;2015-08-22 20:17;What's the "right" way to deal with dplyr::select and AnnotationDbi::select clashing? #rstats #Bioconductor;635168941128609792
TechWars_io;2015-08-22 08:42;We compared #bioconductor vs #biopython - see results: http://www. techwars.io/fight/biocondu ctor/biopython/ ;634994088383787008
tangming2005;2015-08-22 04:40;learning GenomicRanges, GenomicFeatures, GenomicAlignments #bioconductor;634933097432117249
a2idea;2015-08-19 01:44;"diffHic: a #Bioconductor package to detect differential #genomic interactions in Hi-C data" http://www. biomedcentral.com/1471-2105/16/2 58 ;633801665875804161
vivekbhr;2015-08-18 20:19;RT @genetics_blog The #rstats #bioconductor package for Hilbert Curves.. #dataviz #datascience https:// twitter.com/genetics_blog/ status/633627083948851201 ;633719889782534146
wolfgangkhuber;2015-08-18 16:53;HilbertViz by S.Anders came with #Bioconductor 2.3, 10/2008. New HilbertCurve by Zuguang Gu, more flexible interface https:// twitter.com/mikaelhuss/sta tus/633628092779655172 ;633667967255973888
TechWars_io;2015-08-17 15:25;We compared #bioconductor vs #biopython - see results: http://www. techwars.io/fight/biocondu ctor/biopython/ ;633283398887415809
SunitJain;2015-08-14 10:38;#stats :  "Differences in the network structure of CRAN and #BioConductor " http://www. r-bloggers.com/differences-in -the-network-structure-of-cran-and-bioconductor/ ;632124245762424832
najapliz;2015-08-14 08:16;Nice blog describing #kaggle image denoising challenge #R #bioconductor https:// twitter.com/ColinAPriest/s tatus/632064104459452416 ;632088288904511488
seandavis12;2015-08-14 01:37;@doublehelixlf You'll need to use the development version of #bioconductor to get these new packages. http:// bioconductor.org/developers/how -to/useDevel/ ;631987899588710400
seandavis12;2015-08-14 00:36;New to #bioconductor http:// bioconductor.org/packages/devel /bioc/html/synlet.html  synlet Hits Selection for Synthetic Lethal RNAi Screen;631972665209802752
seandavis12;2015-08-14 00:36;New to #bioconductor http:// bioconductor.org/packages/devel /bioc/html/NanoStringDiff.html  NanoStringDiff Differential Expression Analysis;631972664601616384
DiegoKuonen;2015-08-13 18:55;#RStats #CRAN #BioConductor MT @RevolutionR : @RevoJoe & @RevoAndrie presented @#JSM2015 http:// bit.ly/1TpDJ7N pic.twitter.com/9p4oiGX8O3;631886770205011971
dogvile;2015-08-13 07:13;The Network structure of R packages on CRAN  BioConductor by @RevolutionR #bioconductor #cran http://www. slideshare.net/RevolutionAnal ytics/jsm-r-pkgs-2015-0809  @SlideShare @Rbloggers;631710093424390144
stuffspec;2015-08-12 14:57;Some List of Documents About Affy Package Bioconductor, #affy #package #bioconductor http://www. stuffspec.com/publicfiles/Af fy_Package_Bioconductor.html ;631464459903483904
mritchieau;2015-08-10 02:01;Travel scholarships available for #Bioconductor Asia-Pacific Developers' Meeting 8th Sept 2015, Tokyo http:// tinyurl.com/ns6qy55 #rstats;630544367669788672
Bioconductor;2015-08-06 08:09;#rstats / #Bioconductor new tutorial: Analysis of peaks generated from Homer using Diffbind https:// support.bioconductor.org/p/70806/;629187421142298625
DainaBouquin;2015-08-05 19:28;A Short Introduction to #Bioconductor http://www. r-bloggers.com/a-short-introd uction-to-bioconductor/  #statistics #R #genomics;628996030860775424
SunitJain;2015-08-05 10:56;#rstats #omics :  "A Short Introduction to #Bioconductor " http://www. r-bloggers.com/a-short-introd uction-to-bioconductor/ ;628867271222538240
a2idea;2015-07-24 20:16;"ChIPseeker: an #R / #Bioconductor package for #ChIP peak annotation, comparison and #visualization " http:// bioinformatics.oxfordjournals.org/cgi/content/sh ort/31/14/2382?rss=1 ;624659418588807171
Bioconductor;2015-07-24 20:09;#rstats / #Bioconductor new tutorial: Course Material from BioC 2015: Where Software and Biology Connect https:// support.bioconductor.org/p/70357/;624657567893975040
CharlesJolyB;2015-07-24 16:55;Just discovered the BiocStyle package: http:// bioconductor.org/packages/relea se/bioc/html/BiocStyle.html  #Bioconductor #rstats;624608974688509952
bfariabi;2015-07-23 14:33;Great! You can find the #BioC2015 materials at the #Bioconductor website.;624210743286743040
TechWars_io;2015-07-20 22:57;We compared #biopython vs #bioconductor - see results: http://www. techwars.io/fight/biopytho n/bioconductor/ ;623250341040144385
dctrudgian;2015-07-16 03:10;Making #bioconductor GenomicFeatures work with Intel compiled R - http://www. trudgian.net/2015/07/15/bio conductor-intel.html ;621502081208225793
seandavis12;2015-07-10 22:08;New #Bioconductor channel on @F1000Research consider submitting a workflow! http:// f1000research.com/channels/bioco nductor  #bioinformatics;619614068735930370
Bioconductor;2015-07-09 20:09;#rstats / #Bioconductor new tutorial: Introduction to Bioconductor for high-throughput sequence analysis https:// support.bioconductor.org/p/69677/;619221758718124037
Bioconductor;2015-07-02 22:00;#rstats / #Bioconductor new tutorial: Orchestrating a small, parallel, RNA-seq pre-processing workflow using R https:// support.bioconductor.org/p/69411/;616712988012089344
seandavis12;2015-07-01 23:11;#bioconductor quarterly newsletter http://www. bioconductor.org/help/newslette rs/2015_July/ ;616368594117652480
Bioconductor;2015-07-01 23:05;@Bioconductor #rstats / #Bioconductor July Newsletter now available at http://www. bioconductor.org/help/newslette rs/2015_July/ ;616367073766146048
bAshlynlam;2015-06-30 22:22;Great #Bioconductor presentation at #useR2015 and enjoying #AalborgDenmark;615993858820808704
seandavis12;2015-06-27 11:10;First attempt at using #aws #ec2 for teaching #bioinformatics went well using #bioconductor AMI and @rstudio ; automated setup using @ansible;614737479527190528
a2idea;2015-06-27 02:47;"specL--an R/ #Bioconductor package to prepare peptide spectrum matches for use in targeted #proteomics " http:// bioinformatics.oxfordjournals.org/cgi/content/sh ort/31/13/2228?rss=1 ;614611067621085184
genetics_blog;2015-06-26 15:00;ChIPseeker: #Rstats / #Bioconductor pkg for ChIP peak annotation, comparison and visualization http:// bioinformatics.oxfordjournals.org/content/early/ 2015/03/30/bioinformatics.btv145.short  #bioinformatics;614432987434864640
mritchieau;2015-06-19 08:17;Hands-on course #Bioconductor for high-throughout sequence analysis by Dr Martin Morgan, Tokyo 7th Sept 2015 http:// tinyurl.com/nbp2sx5 #Rstats;611794960090697728
mritchieau;2015-06-19 07:54;#Bioconductor is big in Japan! Join us in Tokyo at the 1st Asia-Pacific Developers' Meeting 8th Sept 2015 http:// tinyurl.com/ns6qy55 #Rstats;611789256344801281
TechWars_io;2015-06-15 12:22;We compared #bioconductor vs #biopython - see results: http://www. techwars.io/fight/biocondu ctor/biopython/ ;610406930419482624
attilacsordas;2015-06-10 14:51;going to read this during coffee break, RG is an #rstats #bioconductor legend https:// twitter.com/23andMe/status /608629440315203584 ;608632592351506432
seandavis12;2015-06-10 07:28;#rstats code by @mt_morgan akin to really good poetry: kallisto #RNAseq output into #bioconductor https:// gist.github.com/mtmorgan/eaf45 6ad5b45c431c494  #bioinformatics;608520985696980992
neurosciforall;2015-06-05 19:20;If you are interested in analysis of genetic data, #Bioconductor is your friend! https:// twitter.com/Bioconductor/s tatus/606887479887560704 ;606888232257622018
tangming2005;2015-05-29 16:29;cluster your multi-dimensional genomic data sets using iclusterplus #bioconductor http:// bioconductor.org/packages/devel /bioc/html/iClusterPlus.html ;604308523791450115
ChristosArgyrop;2015-05-29 00:51;Kudos to the #NCBI staff who wrote the GEOquery #Bioconductor package in R. Makes life easy(ier). #rstats;604072551401185280
PeteHaitch;2015-05-27 02:30;Anyone interested in splitting accommodation for BioC 2015 in Seattle? #Bioconductor;603372586085588994
Bioconductor;2015-05-26 18:15;Epigenomics RoadMap Project files now accessible via AnnotationHub #Bioconductor http:// bioconductor.org/packages/devel /bioc/vignettes/AnnotationHub/inst/doc/AnnotationHub-HOWTO.html ;603248218126700544
seandavis12;2015-05-15 22:53;#bioconductor adopt End-of-Life process for packages: http:// bioconductor.org/developers/pac kage-end-of-life/ ;599331829271961601
hedipeterson;2015-05-15 14:28;4h linux command line course w/ @adlerpriit launched the ELIXIR Spring course series @UniTartuCS #R #Bioconductor #HPC #RNAseq to follow.;599204787867914241
vivekbhr;2015-05-13 21:02;#rstat #genomics #bioconductor https:// twitter.com/mikelove/statu s/598566458503929856 ;598579081542787072
stephaniehicks;2015-05-12 14:05;RTCGAToolbox = #Bioconductor package to extract pre-processed TCGA data. Made by Mehmet in our BCB dept @DanaFarber ! http:// bioconductor.org/packages/devel /bioc/html/RTCGAToolbox.html ;598111698315280384
TechWars_io;2015-05-11 15:33;We compared #bioconductor vs #biopython - see results: http://www. techwars.io/fight/biocondu ctor/biopython/ ;597771408123502592
CharlesJolyB;2015-05-10 03:21;New blog post: How to import narrowPeak https:// charlesjb.github.io/How_to_import_ narrowPeak/  #bioconductor #rstats;597224838449799169
ktakeda1;2015-04-30 18:23;#Build2015 #genomics demo now at http:// buildwindows.com using #bioconductor on 16k #azure cores on linux @Azure4Research;593827988485070850
seandavis12;2015-04-29 04:14;NCBI GEO Metadata Survey using GEOmetadb and dplyr http:// rpubs.com/seandavi/GEOMe tadbSurvey2014  #rstats #bioconductor;593251890068094976
KamanuFred;2015-04-28 12:45;Nice summary & worked example on biomaRt https:// nsaunders.wordpress.com/2015/04/28/som e-basics-of-biomart/  #rstats #bioconductor;593018314290569217
aliya_Hshah;2015-04-27 11:56;#Visualizing 6 months of #bioconductor #development using #gource #dataviz https:// youtu.be/-HZ4XOh49fw @vivekbhr @seandavis12 #datascience;592643490934366208
seandavis12;2015-04-26 19:55;Visualization of six months of #Bioconductor development using gource #dataviz http:// youtu.be/-HZ4XOh49fw?a;592401527517511680
infotariat;2015-04-26 18:55;Fantastic set of tutorials for those getting the hang of R, Bioconductor, genomics. #rstats #bioconductor http:// training.bioinformatics.ucdavis.edu/docs/2012/05/D AV/ ;592386538274619392
genetics_blog;2015-04-24 15:00;Protocol for Analysis+visualization of RNA-Seq data using RStudio+ #Bioconductor +IGB http://www. ncbi.nlm.nih.gov/pmc/articles/P MC4387895/  @aloraine205 et al #Rstats;591602595359260673
hoellenmotte;2015-04-24 12:28;Don't waste any time! Count your #NGS reads fast and easy within #R . Available now on #bioconductor http:// master.bioconductor.org/packages/relea se/bioc/html/bamsignals.html ;591564322096214016
Bioconductor;2015-04-23 21:33;BioC 2015 #rstats / #Bioconductor Annual Conference July 20-22, Seattle, WA http:// bioconductor.org/BioC2015/;591339159618396160
Bioconductor;2015-04-17 22:19;#Bioconductor 3.1 is released! http:// bioconductor.org/news/bioc_3_1_ release/ ;589176399908376576
seandavis12;2015-04-16 00:01;New to #bioconductor http:// bioconductor.org/packages/devel /bioc/html/edge.html  edge Extraction of Differential Gene Expression: The edge;588477303816085504
shabbychef;2015-04-14 06:01;Error in namespaceExport(ns, exports) : 
  undefined exports: .__C__file, .__C__pipe, .__C__textConnection, .__C__AsIs #bioconductor;587843149634019328
neilfws;2015-04-13 22:28;Comparing the execution time between foverlaps and findOverlaps http://www. r-bloggers.com/comparing-the- execution-time-between-foverlaps-and-findoverlaps/  #rstats #bioconductor;587728998051942400
tisimpson;2015-04-12 07:26;Some really nice examples in here. " @kihyy : Create complex heatmaps http:// bit.ly/1DVgBvx #bioconductor #R #heatmap ";587139773434847232
kihyy;2015-04-12 06:46;Create complex heatmaps http:// bit.ly/1DVgBvx #bioconductor #R #heatmap;587129544315920384
bcantarel;2015-04-07 16:20;why can't all of the tools in #bioconductor be available on one version of #R ?  I just want to make a sexy complex heatmap...;585462169111699456
Bioconductor;2015-04-04 00:23;#Bioconductor April 2015 newsletter: http:// bioconductor.org/help/newslette rs/2015_April/ ;584134245938896898
